Distribution,n,Method,Coverage,AvgWidth,Bias,MSE,TypeIError,MCStdErrCoverage
LognormalModerate,50,bootstrap,0.9144,0.4536784988986364,0.0010059927160808169,0.015603444643015484,0.0856,0.002797724789896247
LognormalModerate,100,t-interval,0.9288,0.3364279274244015,9.613695274790501e-05,0.007783480975958969,0.0712,0.0025715862808780117
LognormalModerate,100,z-interval,0.9263,0.3323157886631754,9.613695274790501e-05,0.007783480975958969,0.0712,0.0026128205066555947
LognormalModerate,100,bootstrap,0.9222,0.3267149160301067,9.613695274790501e-05,0.007783480975958969,0.0778,0.002678566034280282
LognormalModerate,250,t-interval,0.9419,0.21406861158046514,3.0186030465229052e-05,0.003001981883508902,0.0581,0.002339324475142344
LognormalModerate,250,z-interval,0.9406,0.21302813662019818,3.0186030465229052e-05,0.003001981883508902,0.0581,0.0023637182573225603
LognormalModerate,250,bootstrap,0.9362,0.2104293333135631,3.0186030465229052e-05,0.003001981883508902,0.0638,0.002443963174845316
LognormalModerate,500,t-interval,0.9476,0.15180952804304795,8.946292335676453e-05,0.0014995085427044383,0.0524,0.002228323136351638
LognormalModerate,500,z-interval,0.9471,0.15144131748587553,8.946292335676453e-05,0.0014995085427044383,0.0524,0.002238338446258741
LognormalModerate,500,bootstrap,0.9418,0.1498687212364479,8.946292335676453e-05,0.0014995085427044383,0.0582,0.0023412125063735677
LognormalHigh,25,t-interval,0.7777,1.5868305917108234,-0.003922571433668365,0.32902284169660534,0.2223,0.00415791666583158
LognormalHigh,25,z-interval,0.7646,1.5069203822043917,-0.003922571433668365,0.32902284169660534,0.2223,0.004242485592197103
LognormalHigh,25,bootstrap,0.7748,1.392165797601282,-0.003922571433668365,0.32902284169660534,0.2252,0.004177139691224127
LognormalHigh,50,t-interval,0.8256,1.220482712519509,0.004534019500056052,0.1741375871851409,0.1744,0.0037945308010345624
LognormalHigh,50,z-interval,0.8202,1.190352128198597,0.004534019500056052,0.1741375871851409,0.1744,0.0038402078068771224
LognormalHigh,50,bootstrap,0.8315,1.1289536382879537,0.004534019500056052,0.1741375871851409,0.1685,0.0037430969797749027
LognormalHigh,100,t-interval,0.849,0.9167818954868632,-0.0012399278859512863,0.08818479246114712,0.151,0.0035804887934470626
LognormalHigh,100,z-interval,0.8463,0.9055761243224911,-0.0012399278859512863,0.08818479246114712,0.151,0.00360660934951375
LognormalHigh,100,bootstrap,0.8578,0.8709281697370891,-0.0012399278859512863,0.08818479246114712,0.1422,0.00349255150284144
LognormalHigh,250,t-interval,0.8812,0.6200127445428294,-0.0021614877531829224,0.036381480355375494,0.1188,0.0032355302502062935
LognormalHigh,250,z-interval,0.8802,0.6169991886040095,-0.0021614877531829224,0.036381480355375494,0.1188,0.0032472751654271615
LognormalHigh,250,bootstrap,0.8861,0.6009610276831232,-0.0021614877531829224,0.036381480355375494,0.1139,0.003176897700587792
LognormalHigh,500,t-interval,0.9074,0.4582878325248876,-0.00022932355476878996,0.017283033929523135,0.0926,0.0028987107479015567
